group	id	priority	sections	locator	use	boundary	title	source_page	file	version	new_in_survey
算子与低精度	llm-int8	专题	5,8	§3.1–3.2、§4	通过激活异常值说明混合精度分解的必要性，再核算存储与额外运算	INT8 权重容量节省不等于矩阵乘或服务的同比加速	LLM.int8(): 8-bit Matrix Multiplication for Transformers at Scale	https://arxiv.org/abs/2208.07339v2	files/papers/llm-int8.pdf	2208.07339v2	yes
算子与低精度	gptq	核心	5,8	量化算法与实验部分	解释离线权重量化误差补偿，连到本地部署的模型质量检查	量化算法论文不能证明任意 GGUF／CUDA 内核的实际吞吐	GPTQ: Accurate Post-Training Quantization for Generative Pre-trained Transformers	https://arxiv.org/abs/2210.17323	files/papers/gptq.pdf	2210.17323v2	no
算子与低精度	awq	核心	5,8	Activation-aware Weight Quantization 与 TinyChat 部分	区分权重量化选择和真正执行低比特算子的系统支持	必须同时记录量化格式、group size 和硬件后端	AWQ: Activation-aware Weight Quantization for LLM Compression and Acceleration	https://arxiv.org/abs/2306.00978	files/papers/awq.pdf	2306.00978v6	no
算子与低精度	smoothquant	核心	5,8	§3 的 smoothing 变换与 W8A8 实验	说明将激活量化难度转移到权重的等价变换和校准	校准集、量化后误差与硬件支持仍需验证	SmoothQuant: Accurate and Efficient Post-Training Quantization for Large Language Models	https://arxiv.org/abs/2211.10438	files/papers/smoothquant.pdf	2211.10438v7	no
单实例状态与调度	orca	核心	8	Iteration-level Scheduling、Selective Batching	用一张请求时间线解释按迭代补入和移出请求	历史系统中的 selective batching 不等于今天所有引擎的具体实现	Orca: A Distributed Serving System for Transformer-Based Generative Models	https://www.usenix.org/conference/osdi22/presentation/yu	files/papers/orca.pdf	SHA-256 见 manifest	no
单实例状态与调度	vllm	核心	8	§4.1，PDF p.5 起；memory sharing 部分	用逻辑块到物理块映射推导碎片、共享与 copy-on-write	PagedAttention 不改变模型数学所需的逻辑 KV 数量；论文不代表当前 vLLM 全部架构	Efficient Memory Management for Large Language Model Serving with PagedAttention	https://arxiv.org/abs/2309.06180	files/papers/vllm.pdf	2309.06180v1	no
单实例状态与调度	sarathi-serve	核心	8	§4.2–4.3，PDF pp.8–9	沿 prefill 与 decode 时间线分析 chunk 大小和 token budget	分块会增加调度／执行开销，吞吐与 TTFT／TPOT 要联合测量	Taming Throughput-Latency Tradeoff in LLM Inference with Sarathi-Serve	https://arxiv.org/abs/2403.02310	files/papers/sarathi-serve.pdf	2403.02310v3	no
单实例状态与调度	deepspeed-fastgen	专题	8	§3.2、§4.1，PDF pp.5–6	以 Dynamic SplitFuse 为另一种分块组合实现，并借用 effective throughput 的测量问题	2024 年对照版本和请求分布必须保留，不引用为今天的引擎排名	DeepSpeed-FastGen: High-throughput Text Generation for LLMs via MII and DeepSpeed-Inference	https://arxiv.org/abs/2401.08671v1	files/papers/deepspeed-fastgen.pdf	2401.08671v1	yes
单实例状态与调度	sglang	核心	8,9	§3，PDF pp.4–5；§6.3	用 RadixAttention 的前缀组织连接请求程序、KV 复用与调度	论文初版功能范围与现在的 SGLang 运行时分开；相同文本不必然满足 KV 复用条件	SGLang: Efficient Execution of Structured Language Model Programs	https://arxiv.org/abs/2312.07104	files/papers/sglang.pdf	2312.07104v2	no
单实例状态与调度	flexgen	专题	8	Offloading Strategy、Block Schedule 与实验	在权重／KV／激活之间选择卸载对象，计算搬移、驻留与批量的取舍	面向吞吐的离线条件不能当成低延迟交互结论	FlexGen: High-Throughput Generative Inference of Large Language Models with a Single GPU	https://arxiv.org/abs/2303.06865	files/papers/flexgen.pdf	2303.06865v2	no
单实例状态与调度	deepspeed-inference	专题	9	§III–VI：内核、多 GPU 与 ZeRO-Inference	比较 GPU 驻留、模型并行和 CPU／NVMe 卸载三种执行路径	历史模型、硬件与延迟目标分别保留	DeepSpeed Inference: Enabling Efficient Inference of Transformer Models at Unprecedented Scale	https://arxiv.org/abs/2207.00032v1	files/papers/deepspeed-inference.pdf	2207.00032v1	yes
单实例状态与调度	fastserve	专题	8,11	§4.1 Skip-Join MLFQ Scheduler；KV 管理	说明输出长度未知时，抢占策略如何平衡短请求和状态交换	平台作业抢占与单服务内部请求抢占不能混为一谈	Fast Distributed Inference Serving for Large Language Models	https://arxiv.org/abs/2305.05920v3	files/papers/fastserve.pdf	2305.05920v3	yes
长上下文与KV压缩	kivi	核心	8	§3.1–3.3；量化误差与 residual cache	按 K per-channel、V per-token 展开低比特存储，并补 scale、zero point 和残余段	2 bit 是量化数据位宽，不是整个 KV 分配的平均精确位宽；质量需按任务验证	KIVI: A Tuning-Free Asymmetric 2bit Quantization for KV Cache	https://arxiv.org/abs/2402.02750v2	files/papers/kivi.pdf	2402.02750v2	yes
长上下文与KV压缩	h2o	专题	8	§3–4，PDF pp.4–6	用近期 token 与 heavy hitter 的保留策略解释 KV 淘汰	近似改变可访问历史；理论保证附带假设，不等于所有模型无质量损失	H$_2$O: Heavy-Hitter Oracle for Efficient Generative Inference of Large Language Models	https://arxiv.org/abs/2306.14048v3	files/papers/h2o.pdf	2306.14048v3	yes
长上下文与KV压缩	streamingllm	专题	8	§3.2，PDF p.5，Figure 4；§4.3	用 attention sinks 与滚动窗口说明固定容量的流式状态	旧 token 已淘汰；稳定生成不等于完整长历史理解或检索	Efficient Streaming Language Models with Attention Sinks	https://arxiv.org/abs/2309.17453v4	files/papers/streamingllm.pdf	2309.17453v4	yes
投机解码	speculative-decoding	核心	8	§2.3、§3.1–3.4；Theorem 3.8	从草稿成本、接受长度和目标模型验证成本推导何时加速	期望加速公式依赖接受率及成本假设；高并发服务需重新测量	Fast Inference from Transformers via Speculative Decoding	https://arxiv.org/abs/2211.17192	files/papers/speculative-decoding.pdf	2211.17192v2	no
投机解码	speculative-sampling	核心	8	PDF p.3 Algorithm 2；后续拒绝校正证明	与 Leviathan 等并列说明独立提出的分布保持采样机制	目标分布一致不等于浮点逐位一致或同随机种子输出一致	Accelerating Large Language Model Decoding with Speculative Sampling	https://arxiv.org/abs/2302.01318v1	files/papers/speculative-sampling.pdf	2302.01318v1	yes
投机解码	medusa	专题	8	§2.1–2.3，尤其 §2.3.1 Typical Acceptance	多头候选与树形验证作为扩展，比较 backbone 冻结与联合训练	typical acceptance 与严格拒绝采样的保证不同，不能统称精确采样	Medusa: Simple LLM Inference Acceleration Framework with Multiple Decoding Heads	https://arxiv.org/abs/2401.10774v3	files/papers/medusa.pdf	2401.10774v3	yes
投机解码	eagle	专题	8	特征预测方法、草稿结构及消融	解释特征层草稿为何需要处理下一 token 的不确定性	训练代价、草稿长度和服务负载一并记录	EAGLE: Speculative Sampling Requires Rethinking Feature Uncertainty	https://arxiv.org/abs/2401.15077v3	files/papers/eagle.pdf	2401.15077v3	yes
投机解码	eagle3	专题	8	§3.2；§4.3，PDF pp.5、8	在基础推导后补多层特征、training-time test 和 SGLang 集成案例	采用论文中的 batch 与模型条件；不把单请求收益当成整机吞吐收益	EAGLE-3: Scaling up Inference Acceleration of Large Language Models via Training-Time Test	https://arxiv.org/abs/2503.01840v3	files/papers/eagle3.pdf	2503.01840v3	yes
分布式推理与生产系统	distserve	核心	9	§3–4：disaggregation 与 placement	从 TTFT／TPOT 的干扰提出 PD 分离，并把 KV 交接与池配比加回成本	分离收益取决于链路、放置、请求分布和 SLO	DistServe: Disaggregating Prefill and Decoding for Goodput-optimized Large Language Model Serving	https://arxiv.org/abs/2401.09670	files/papers/distserve.pdf	2401.09670v3	no
分布式推理与生产系统	splitwise	核心	9	Phase Splitting、Cluster Design 与评估	在 A100／H20 案例前借用按阶段匹配资源的分析方法	论文机器组合与本书异构组合不同，不能照搬性能数值	Splitwise: Efficient Generative LLM Inference Using Phase Splitting	https://arxiv.org/abs/2311.18677	files/papers/splitwise.pdf	2311.18677v2	no
分布式推理与生产系统	mooncake	核心	9	§4、§6–7；PDF pp.6–7、10–14	将真实请求分布、缓存局部性、传输与过载拒绝连成系统案例	公司负载的统计特征不能代替本书服务的 trace	Mooncake: A KVCache-centric Disaggregated Architecture for LLM Serving	https://arxiv.org/abs/2407.00079	files/papers/mooncake.pdf	2407.00079v4	no
分布式推理与生产系统	preble	核心	9	§3.2–3.3，PDF pp.4–7	在跨副本前缀共享场景比较缓存命中与排队成本	缓存命中最大化不是全局延迟最小化；必须考虑状态更新成本	Preble: Efficient Distributed Prompt Scheduling for LLM Serving	https://arxiv.org/abs/2407.00023v2	files/papers/preble.pdf	2407.00023v2	yes
分布式推理与生产系统	lmcache	核心	8,9	§3–5；§8.5；§9	把 KV 作为独立存储层讨论，连接格式转换、批量 I/O、分层缓存和 PD	跨实例复用要求模型、位置、前缀和格式等条件相容；一致性与恢复不能由下载论文自动补齐	LMCache: An Efficient KV Cache Layer for Enterprise-Scale LLM Inference	https://arxiv.org/abs/2510.09665v2	files/papers/lmcache.pdf	2510.09665v2	yes
分布式推理与生产系统	deepseek-serving-report	核心	6,9,13	System Design Principles；Large-scale Cross-node EP；统计与费用段落	以生产工程报告检查 EP 扩大批量、通信重叠和负载均衡的共同条件	固定 Git 提交；理论租用成本估算不等于公司利润或完整 TCO	Day 6: DeepSeek-V3/R1 Inference System Overview	https://github.com/deepseek-ai/open-infra-index/blob/56d86855fcf6e08fdfd45ce6280bd24322c93351/202502OpenSourceWeek/day_6_one_more_thing_deepseekV3R1_inference_system_overview.md	files/documents/deepseek-serving-report.md	SHA-256 见 manifest	yes
分布式推理与生产系统	cloudmatrix384-v3	专题	4,6,9	系统架构、Attention／FFN 分离与评估；型号差异回看 v2	用另一硬件体系检验 MoE 放置与通信分析；复用已有架构笔记	硬件型号措辞在 v2／v3 有变化，参数必须注明版本	Serving Large Language Models on Huawei CloudMatrix384, v3	https://arxiv.org/abs/2506.12708v3	files/papers/cloudmatrix384-v3.pdf	2506.12708v3	no
分布式推理与生产系统	ktransformers-paper	核心	9	系统设计、CPU 专家执行与 Evaluation 设置	为既有 4090＋双路 Xeon 案例解释专家就地计算与 CPU／GPU 交接	论文实验配置与当前官方示例不同；同机协作不自动证明跨机 AF 收益	KTransformers: Unleashing the Full Potential of CPU/GPU Hybrid Inference for MoE Models	https://madsys.cs.tsinghua.edu.cn/publication/ktransformers-unleashing-the-full-potential-of-cpu/gpu-hybrid-inference-for-moe-models/SOSP25-chen.pdf	files/papers/ktransformers-paper.pdf	SHA-256 见 manifest	no
分布式推理与生产系统	dynamo-production	工程	9,11	ModelExpress、KV-aware router、resilient inference 相关段落	用于写部署、状态复用、扩缩容及恢复的具体工程例子	2026-03-16 官方文章；性能数值是厂商报告，完整恢复语义仍需代码与实验	How NVIDIA Dynamo 1.0 Powers Multi-Node Inference at Production Scale	https://developer.nvidia.com/blog/?p=113961	files/documents/dynamo-production.html	SHA-256 见 manifest	yes
分布式推理与生产系统	tensorrt-llm-architecture	工程	5,8,9	Architecture Overview 正文	解释 API、执行器与后端的职责，和 vLLM／SGLang 的实现边界比较	动态官方文档按 SHA-256 保存；不把它标作项目论文	TensorRT LLM Architecture Overview	https://nvidia.github.io/TensorRT-LLM/developer-guide/overview.html	files/documents/tensorrt-llm-architecture.html	SHA-256 见 manifest	yes
多模型服务与平台	s-lora	专题	11	§4–6；Unified Paging	从多个 adapter 共享基座引出异构批处理、状态分页和适配器放置	不是多个独立基座的通用复用；租户隔离、公平性需额外验证	S-LoRA: Serving Thousands of Concurrent LoRA Adapters	https://arxiv.org/abs/2311.03285v3	files/papers/s-lora.pdf	2311.03285v3	yes
多模型服务与平台	alpaserve	专题	11	§3.4；§4；PDF p.6 的排队分析	解释模型并行带来的统计复用机会，联合选择模型放置和副本	论文的服务对象与负载模型不等于完整现代 LLM 连续批处理服务	AlpaServe: Statistical Multiplexing with Model Parallelism for Deep Learning Serving	https://arxiv.org/abs/2302.11665v2	files/papers/alpaserve.pdf	2302.11665v2	yes
