layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,expert_6_down,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [1, 7168]}",29360128,0,{},29360128,4096,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_6_silu_and_product,activation,"{""gate_and_up"": [1, 2048]}",0,4096,"{""sigmoid"": 2048}",0,8192,4096,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,expert_7_gate,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_7_up,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 2048], ""weight_storage"": [2048, 7168], ""output"": [1, 2048]}",29360128,0,{},29360128,14336,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_7_down,linear,"{""input"": [1, 2048], ""weight_math"": [2048, 7168], ""weight_storage"": [7168, 2048], ""output"": [1, 7168]}",29360128,0,{},29360128,4096,14336,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,58
aggregate; see repeats,expert_7_silu_and_product,activation,"{""gate_and_up"": [1, 2048]}",0,4096,"{""sigmoid"": 2048}",0,8192,4096,"SiLU multiply and gated product; sigmoid is a separate primitive, fused logical interface.",58
aggregate; see repeats,routed_weighted_reduce_and_shared_add,routing,"{""expert_outputs"": [1, 8, 7168]}",0,114688,{},0,129056,14336,"k weighted products, k-1 reductions, shared add per output cell. Source does weighted accumulation in FP32; operand interface uses BF16 expert outputs plus FP32 gate weights.",58
aggregate; see repeats,attention_and_ffn_residual_adds,residual,"{""input"": [1, 7168]}",0,7168,{},0,28672,14336,,122
aggregate; see repeats,final_rmsnorm,normalization,"{""input"": [1, 7168], ""weight"": [7168], ""output"": [1, 7168]}",0,28673,"{""rsqrt"": 1}",14336,14336,14336,按 FP32 行内归约的代数计数；rsqrt、类型转换与临时 FP32 张量分列／不推断 HBM spill。,1
aggregate; see repeats,lm_head,linear,"{""input"": [1, 7168], ""weight_math"": [7168, 129280], ""weight_storage"": [129280, 7168], ""output"": [1, 129280]}",1853358080,0,{},1853358080,14336,258560,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,1
aggregate; see repeats,logits_float32_cast,cast,"{""logits"": [1, 129280]}",0,0,"{""cast_elements"": 129280}",0,258560,517120,,1
