layer,name,category,shapes,matrix_flops,scalar_flops,special_ops,weight_read_bytes,activation_read_bytes,activation_write_bytes,notes,repeats
aggregate; see repeats,moe.expert1.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert1.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert2.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert2.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert3.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert3.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert4.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert4.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert5.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert5.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert6.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert6.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert7.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert7.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert8.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert8.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert9.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.expert9.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.routed_swiglu,activation,{},0,20480,"{""sigmoid"": 10240}",0,0,0,,60
aggregate; see repeats,moe.routed_weight_and_index_add,routing,{},0,81920,{},0,81920,81920,Probability multiply and addition into zero-initialized destination; gather/metadata/scatter physical traffic not complete.,60
aggregate; see repeats,moe.shared.gate_up,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 2048], ""weight_storage"": [2048, 4096], ""output"": [1, 2048]}",16777216,0,{},16777216,8192,4096,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.shared.down,linear,"{""input"": [1, 1024], ""weight_math"": [1024, 4096], ""weight_storage"": [4096, 1024], ""output"": [1, 4096]}",8388608,0,{},8388608,2048,8192,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.shared.gate,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 1], ""weight_storage"": [1, 4096], ""output"": [1, 1]}",8192,0,{},8192,8192,2,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,60
aggregate; see repeats,moe.shared_swiglu_gate_combine,activation,{},0,10240,"{""sigmoid"": 1025}",0,0,0,,60
aggregate; see repeats,final_norm,normalization,"{""rows"": 1, ""width"": 4096}",0,20481,"{""rsqrt"": 1}",8192,8192,8192,"FP32 internal arithmetic; interfaces are BF16 input/output, not internal conversion traffic.",1
aggregate; see repeats,lm_head,linear,"{""input"": [1, 4096], ""weight_math"": [4096, 248320], ""weight_storage"": [248320, 4096], ""output"": [1, 248320]}",2034237440,0,{},2034237440,8192,496640,独立 GEMM：权重与输入各读一次、输出写一次的操作数载荷；不预测 tile 重读。,1
aggregate; see repeats,reference.conv.additional_padded_and_discarded_products,reference_supplement,{},368640,0,{},0,0,0,"Dense convolution multiply-accumulate slots including zero-padding and outputs discarded by slices; FMA=2, not backend instruction count.",45
aggregate; see repeats,reference.conv.extra_silu_before_final_crop,reference_supplement,{},0,0,"{""sigmoid"": 0}",0,0,0,,45
aggregate; see repeats,reference.chunk.beta_K_V,reference_supplement,{},0,16384,{},0,0,0,,2880
aggregate; see repeats,reference.chunk.cumsum,reference_supplement,{},0,63,{},0,0,0,Mathematical inclusive prefix-sum additions; parallel scan implementation may differ.,2880
aggregate; see repeats,reference.chunk.pairwise_decay_difference_mask_exp,reference_supplement,{},0,4096,"{""exp"": 4096}",0,0,0,"Broadcast diff, masked-fill and exp each write CxC; exp(-inf) slots included.",2880
aggregate; see repeats,reference.chunk.ut_and_intra_decay_multiply,reference_supplement,{},0,8192,{},0,0,0,,2880
aggregate; see repeats,reference.chunk.exp_cum_for_decayed_Kbeta,reference_supplement,{},0,8192,"{""exp"": 64}",0,0,0,,2880
aggregate; see repeats,reference.chunk.exp_cum_for_Q,reference_supplement,{},0,8192,"{""exp"": 64}",0,0,0,,2880
aggregate; see repeats,reference.chunk.last_minus_cum_exp_for_K,reference_supplement,{},0,8256,"{""exp"": 64}",0,0,0,,2880
aggregate; see repeats,reference.chunk.exp_final_decay,reference_supplement,{},0,0,"{""exp"": 1}",0,0,0,,2880
aggregate; see repeats,reference.chunk.scan_state_decay_add,reference_supplement,{},0,16384,{},0,0,0,Main ledger counted decay multiply; this adds omitted state-update addition and interfaces for both statements.,2880
aggregate; see repeats,reference.rope.frequency_outer_product,reference_supplement,{},192,0,{},0,0,0,,1
aggregate; see repeats,reference.rope.sin_cos_and_scaling,reference_supplement,{},0,192,"{""sin"": 96, ""cos"": 96}",0,0,0,Source multiplies both sin and cos by attention_scaling=1.,1
aggregate; see repeats,reference.rope.rotate_half_negation,reference_supplement,{},0,1088,{},0,0,0,,15
aggregate; see repeats,reference.full.eager_additional_softmax_and_mask,reference_supplement,{},0,32,"{""exp"": 0, ""max_comparisons"": 0}",0,0,0,Additional rectangular softmax positions plus attention-mask addition to every score slot.,15
aggregate; see repeats,reference.linear.A_exp_negation,reference_supplement,{},0,64,{},0,0,0,"FP32 exp(A_log), then unary negation; exponent primitive counted in primary operator.",45
