number	decision	reason
65	备选，不新增	向量检索按排名效用提前停止可作 RAG 成本对照，当前不增加向量数据库专题。
66	备选，不新增	点云稀疏卷积用数据特性降低映射开销，方法可借鉴但不扩充点云网络主线。
67	候选待读	按子层切分的 CPU／GPU 流水与放置适合 9.4／10.3，和 KTransformers、Ollama 比较；面向未来产品的设计不当作已交付功能。
68	候选待读	长上下文稀疏训练的逐卡与逐步不均衡，适合 7／11.3；原实验 Qwen2.5／Llama3.1 是历史条件，不能直接换名 V4／K3。
69	候选待读	TeleRAG 提前预测检索并与生成重叠，可补 8／12 的预取边界；错误预取、容量与因果依赖需核对。
70	候选待读	运行中量化层替换与 KV 扩容适合 9.4／12；保存状态不等于保持相同计算与输出，需质量约束。
71	排除正文	安全管理的 RL 仿真与仿真校准，主要是网络防护策略，不是大模型 RL rollout 基础设施。
72	候选待读	OpenHands SDK 的本地／远端执行、生命周期与系统失败可补 12.4，和 E2B 对照分工，不扩成 Agent 开发教材。
73	候选待读	TritorX 在 MTIA 上以算子覆盖与正确性为目标，适合 5.3；通过 OpInfo 不等于已优化性能，也不是所有输入的证明。
74	候选待读	MoEBlaze 消除路由中间缓冲并协同重计算，适合 5／11；推荐业务部署与 LLM 训练条件分开。
75	排除正文	GPU 机密计算的安全边界研究，不扩充当前书的硬件安全专题。
76	候选待读	Matrix 的合成数据工作流把轻量 Agent 与推理／容器服务分开，适合 11.4／12；质量和吞吐条件需分别验证。
77	候选待读	NEST 将逐卡容量、网络与并行方案同时建模，适合 6／7／13；用具体模型约束缩小候选后再讨论自动搜索。
78	候选待读	FlexiCache 按 KV 头的时间稳定性安排主机卸载和重排，和 HiSparse／OPKV 比较后补 10.5，避免缓存方法目录。
79	排除正文	同态加密 GCN 的专用计算与多卡组织，不扩展隐私图网络主线。
80	候选待读	性能或调度预测不可靠时采用回退方案，适合 12／13 的估计误差与决策边界；不同任务没有统一阈值。
81	备选，不新增	张量无损熵编码可补 7／9 的传输与解码成本，区别于前置有损量化；先与已有压缩案例去重。
82	候选待读	Meta 生产部署比较异构卡、并行与 PD／混合批处理，适合 10.6／13；当前书先教简单约束，不从百万配置搜索入门。
83	候选待读	SGLang 上 Agent 间流式 prefill 重叠，适合 8／12；下游输入前缀必须稳定，不能在依赖未满足时提前生成。
84	候选待读	Groq SHIP 的 SRAM 容量、上千芯片流水与互联是 4／6 的架构取舍对照，需读真实部署与效率条件。
85	候选待读	FP8 数据流中转置轴与 scale 一致性影响重复量化，适合 4／5／11；稳定收敛与减少 cast 的条件需核实。
86	备选，不新增	Agent 长期记忆的索引与存储压缩可留作应用对照，不混成推理 KV 缓存或新增记忆系统专题。
87	候选待读	MixLLM 按输出特征分配精度并优化解量化流水，适合 5／9，和极低比特部署的真实执行成本比较。
88	重点阅读并整合	FA4 的片上资源下界与硬件非对称演进，补 4.2.4／5.2.3；当前 vLLM／SGLang 后端选择接到 9.1.5。
89	候选待读	ContextPilot 重组上下文提高复用，适合 9.2；改变上下文与注释需质量验证，不等同相同 token 前缀的精确缓存。
90	排除正文	联邦模型 token 来源归因，主要是可解释性和信任问题。
91	候选待读	按 prefill 长度分队列与图规格，适合 9.1／10.2；标题 PLA-Serve 与摘要 LAPS 名称、等待窗口和基线版本待核。
92	备选，不新增	跨 ML／检索组件的近似编译可补 13 的质量约束，不与第 5 章语义保持的融合变换混为一谈。
93	候选待读	DynaFlow 把算子逻辑与片内执行调度分开，适合 5.4；核对 CUDA Graph、Inductor 与内存生命周期的兼容条件。
94	候选待读	Flashlight 与 FlexAttention 的模板边界对照，适合 5.3 的融合组合问题；抽象层降低手工负担而非堆新算子。
95	候选待读	HipKittens 用 AMD CDNA3／4 验证 tile 抽象与硬件调度差异，适合 4／5 的跨架构比较；不把同一源码当相同执行策略。
96	候选待读	PIKE 的优化步幅、错误修复与反馈可补 5.3.5；KernelBench 胜率或加速不替代生产推理端到端验证。
97	候选待读	Zorse 在异构训练中联合 PP 与 ZeRO DP，适合 11／12；先算每卡容量和通信，不按混用卡数简单加总性能。
98	备选，不新增	CAGE 用曲率修正 QAT 梯度，算法贡献为主；当前保持低精度训练的系统成本与收敛边界。
99	候选待读	按层组交错 prefill／decode 可减少 MoE 权重重读，适合 9.1 并接 6.3；需核对依赖、激活驻留及 TBT。
100	备选，不新增	缓存具身规划并异步验证会改变 Agent 决策流程，与精确 KV 复用不同；不扩具身控制主题。
101	候选待读	BLASST 用在线 softmax 阈值跳过块，适合 5／9 的近似与 IO 区分；稀疏率不能直接当加速比。
102	候选待读	消费 GPU 上 beam 间 KV 复用与预取，适合 9.4；旧模型卸载基线不外推为当前 reasoning 的统一收益。
103	排除正文	跨机构联邦训练的层级泛化与个性化划分，偏算法且不等同基础设施 PP。
104	候选待读	DAS 利用历史 rollout 给长尾分配推测预算，适合 11.5；保留目标采样分布并检查参数更新后的接受率。
105	备选，不新增	VeriMoA 生成 RTL 的候选管理与验证有方法价值，当前不新增硬件代码生成专题。
106	候选待读	Apple AXLearn 的模块边界与异构训练支持可补 11 的真实框架分工；接口集成复杂度不是模型执行的 FLOPs 复杂度。
107	候选待读	Dynamo 背景下的 PD 实际适用条件与动态速率匹配，和 82 的 Meta 经验一起补 10.2／10.6，保留模型与流量条件。
108	候选待读	HexiScale 的异构非对称切分适合 11／12，与 Zorse 同题比较；同总峰值 FLOPs 不自动保证同训练时间。
109	候选待读	veScale-FSDP 的分片需保持块量化及 Muon／Shampoo 的结构，适合 11.1／11.3；FSDP 与所有 ZeRO 阶段不应笼统等同。
110	备选，不新增	Meta 软件升级时长的误判成本可作 12／13 对照，当前优先 AI 作业与模型部署的直接案例。
111	候选待读	GhostServe 用主机校验分片保护 KV，适合 10.6；和复制／重算比较编码开销、故障范围与恢复时间。
112	备选，不新增	小模型低数据 RLVR 的样本效率可作第 3 章边界，不能代替大模型 RL 的基础设施测量或普适 scaling law。
113	备选，不新增	视觉生成稀疏 attention 的头／块双重均衡有切分方法价值，不新增视频生成并行专题。
114	候选待读	Charon 用细粒度模拟比较推理训练配置，可作 13 的后续验证工具；必须先做容量和关键路径推算，误差只在原测试范围成立。
115	候选待读	ReSpec 联合大 batch、草稿更新与 RL 奖励，适合 11.5；先核对采样／接受算法为何影响策略，不能只引用加速与收敛结论。
116	候选待读	fabric-lib 的跨 NIC 点到点传输支持 KV、权重与专家，适合 7／10／11；完成通知和排序语义、万亿模型 1.3 秒的传输口径须细读。
117	候选待读	FCP 按块组织长短训练序列与点到点通信，适合 7／11.3；attention MFU 与全模型 MFU 分开。
118	候选待读	Hawkeye 重现 Tensor Core 的舍入与累加顺序，适合 4／5／11 的数值一致性；已测代际和类型不能外推所有未来硬件。
119	备选，不新增	LEANN 以重算 embedding 换索引容量可作存算取舍对照，不扩向量数据库主题。
120	候选待读	Kitty 的动态混合 KV 精度与实际页面布局，适合 9.4；名义 2 bit 之外计高精度通道、索引、解量化与任务质量。
121	候选待读	DriftBench 比较硬件／精度／框架变更后的输出漂移，适合 5／9／13 的发布验证；预测相关性不是因果定律。
122	备选，不新增	Arm 端侧整数 softmax 暴露非矩阵部分瓶颈，可补 4／5 的对照；查表近似不是精确数值等价替换。
123	候选待读	BEAM 联合频率、chunk 和微批利用 SLO 余量，适合 9／12 的能耗成本；GPU 能耗不等于整机或机房能耗。
124	候选待读	BOute 将模型选择与异构部署一起优化，适合 12.3；质量、延迟与成本先定约束，不把 MOBO 搜索当作必需入门工具。
125	排除正文	大臂数对抗 bandit 的一般算法，不是当前 AI Infra 系统主线。
126	备选，不新增	MCP 安全检测的两级推理成本可作任务服务对照，当前不扩 Agent 安全检测专题。
127	重点阅读并整合	编码／语言两种预算、阶段 profiling 与同卡数配比，接 8→9→10；保留旧共置基线、固定输出、图／缓存关闭及分钟级重配条件。
128	候选待读	推荐序列训练的样本均衡和不占 SM 的通信可补 7／11；真实推荐业务与 LLM 的矩阵／同步分布分别核对。
129	备选，不新增	联邦 LoRA 聚合的矩阵代数值得参考，但不是多 adapter 推理服务或标准分布式训练，暂不扩主题。
130	候选待读	SambaNova SN40 的循环、流式 batch 与调度卸载可补 4／5／6 的架构对照；厂商 roofline 与 GPU 比较需同模型、精度及资源口径。
131	候选待读	DreamDDP 通过局部 SGD 与分层同步降低广域网通信，适合 7／11 的适用边界；算法已变化，收敛阶同类不等于相同优化轨迹。
132	候选待读	Span query 用显式可交换约束重排上下文，适合 9.2／12；语义可交换不保证注意力或模型输出不变，需要质量对照。
133	排除正文	多人 VR 的隐私卸载与重建质量，偏应用及隐私算法，不扩第 8 章场景。
134	重点阅读并整合	MPG 分配、运行与程序时间定义，补 11.6.1／13.1.2，实验 11-10 加同型 GPU 时间推算；不替代多资源 Roofline。
135	候选待读	ParallelKittens 的跨卡 tile 与通信资源调度可补 5→6；和 TokenWeave／COMET 比较后精选一例，不增多 GPU DSL 名录。
