program_order	doi	title	decision	reason
68	10.1109/micro61859.2024.00072	BreakHammer: Enhancing RowHammer Mitigations by Carefully Throttling Suspect Threads	exclude	限制触发 RowHammer 防护的硬件线程属于内存安全维护，不等同于 AI 任务资源调度；保留筛选记录，不增设机制。
69	10.1109/micro61859.2024.00073	ImPress: Securing DRAM Against Data-Disturbance Errors via Implicit Row-Press Mitigation	exclude	Row-Press 与 Rowhammer 的电荷损失和防护兼容性不是模型内存容量或服务缓存问题，不展开 DRAM 安全设计。
71	10.1109/micro61859.2024.00074	Self-Managing DRAM: A Low-Cost Framework for Enabling Autonomous and Efficient DRAM Maintenance Operations	reference	维护操作与正常访问的重叠可作有效带宽背景，但需要 DRAM 接口及芯片修改；保留会后 v9 和作者字段差异，不用作当前 HBM 已有能力。
74	10.1109/micro61859.2024.00077	StarNUMA: Mitigating NUMA Challenges with Memory Pooling	reference	多 socket 共享页放置与片上／片间通信可作内存池背景；其不规则 CPU 负载不直接证明 GPU KV 池收益。
78	10.1109/micro61859.2024.00081	LIBRA: Memory Bandwidth- and Locality-Aware Parallel Tile Rendering	exclude	tile rendering 的跨帧局部性和光栅化工作分配属于图形流水线；沿用已有 AI 访存与并发例子，不增加商业游戏专题。
81	10.1109/micro61859.2024.00084	LoAS: Fully Temporal-Parallel Dataflow for Dual-Sparse Spiking Neural Networks	exclude	双稀疏 SNN 的时间步、脉冲编码与 inner-join 有特定模型语义；不把 temporal parallelism 当作 Transformer token 并行或 MoE。
92	10.1109/micro61859.2024.00093	SOFA: A Compute-Memory Optimized Sparsity Accelerator via Cross-Stage Coordinated Tiling	candidate	稀疏预测、排序与正式 attention 的跨阶段分块可以交换额外计算和 IO；待读近似精度、质量及专用加速器条件，与当前 V4 索引案例比较后再采用。
93	10.1109/micro61859.2024.00094	RAHP: A Redundancy-aware Accelerator for High-performance Hypergraph Neural Network	reference	HyperGNN 的顶点／超边共享计算与不规则访存可作复用背景；FPGA 的模型、软件基线与现有 LLM 不同，暂不扩大网络类型。
99	10.1109/micro61859.2024.00100	SambaNova SN40L: Scaling the AI Memory Wall with Dataflow and Composition of Experts	candidate	复用既有公开稿，待读三层存储与模型切换条件；Composition of Experts 的系统组合与单层 MoE 不同，不套用到 V4／K3。
101	10.1109/micro61859.2024.00101	Scalar Vector Runahead	reference	顺序核预先展开独立访存可作第 4 章依赖与并发背景；图／数据库的推测执行不同于 LLM 推测解码，已有 Mess 案例先保留。
103	10.1109/micro61859.2024.00103	Mosaic: Harnessing the Micro-Architectural Resources of Servers in Serverless Environments	reference	serverless 函数的微架构状态驻留需要专用 CPU 与调度配合；不等同于 E2B 的 VM 快照、软件容器预热或现有 CPU 免费特性。
105	10.1109/micro61859.2024.00105	Duplex: A Device for Large Language Models with Mixture of Experts, Grouped Query Attention, and Continuous Batching	candidate	连续批处理改变每个 expert 的 token 数和 Op/B，适合推导异构计算分工；待读 xPU／Logic-PIM、质量及模拟假设，不采用摘要加速比。
107	10.1109/micro61859.2024.00107	FuseMax: Leveraging Extended Einsums to Optimize Attention Accelerator Design	candidate	将 attention 的数据遍数、片上容量和算子间算力配比一同估算；待读绑定、等面积基线及仿真范围，摘要近 100% 利用率不是通用 MFU。
108	10.1109/micro61859.2024.00108	Cambricon-LLM: A Chiplet-Based Hybrid Architecture for On-Device Inference of 70B LLM	candidate	B=1 的大权重工作集由 NPU 与带计算能力的 NAND 协作；待读真实字节、ECC、精度和硬件评估，不能把普通 SSD 卸载当作该专用芯片。
109	10.1109/micro61859.2024.10869629	BABOL: A Software-Defined NAND Flash Controller	exclude	NAND 封装控制信号和软件定义 flash controller 超出本书 SSD 层状态搬运的范围，不扩展完整闪存控制器开发。
112	10.1109/micro61859.2024.00111	NeoMem: Hardware/Software Co-Design for CXL-Native Memory Tiering	reference	CXL 设备侧页热度和 Linux 分层内存管理可作备查；物理页热度与语义 KV 前缀复用不同，不重复现有 KV 路由案例。
117	10.1109/micro61859.2024.00116	HgPCN: A Heterogeneous Architecture for E2E Embedded Point Cloud Inference	reference	点云预处理和输入结构化可能主导端到端时间；已有 RAW／语音／Computer Use 足以承担这类判断，保留备查并维持当前第 12 章结构。
120	10.1109/micro61859.2024.00119	PyPIM: Integrating Digital Processing-in-Memory from Microarchitectural Design to Python Tensors	reference	Python tensor 到 ISA／PIM 微操作的完整抽象可作第 5 章背景；数字 memristive PIM 模拟不能证明普通 Python 或现有 GPU 获得相同收益。
