number	decision	reason
53	优先候选	Explainable-DSE 依据可解释瓶颈模型选择下一批硬件／软件方案；4／13 可支撑先找瓶颈再搜索的方法，需核实代价模型和搜索预算，不将自动 DSE 变成读者先修。
54	备查	λFS 用 FaaS 扩展分布式文件系统元数据服务；12 可参考弹性状态管理，但文件系统元数据缓存不是模型 KV cache，摘要损坏符号保留。
55	候选	FaaSMem 按容器生命周期区分页面并卸载冷内存，设置 semi-warm 阶段；12 的 Agent 环境池可比较驻留、远端访问和冷启动代价，不自动等同 GPU KV 池。
56	候选	CodeCrunch 用函数压缩和异构预热位置缓解内存压力；12 可对照 warm 环境成本，官方摘要较短，只据所给全文留候选，未采用未披露实现或收益。
57	候选	RainbowCake 分层缓存和共享容器准备状态，回应突发与内存浪费；12 可比较环境准备的可复用范围，需核查共享与隔离条件。
58	备查	Flame 用集中式缓存控制处理各主机负载偏斜；12 可留全局环境池管理线索，与现有缓存感知路由去重，函数缓存不与 KV 命中混称。
59	优先候选	POLCA 从训练／推理功耗分布推导机房超配机会；13 可补功率、业务阶段与控制约束，论文模拟不能当生产容量实测，2024 负载不代表当前 reasoning 服务。
60	备查	GAIA 同时考虑碳强度、任务延后和云资源购买成本；13 可保留调度目标冲突，不将一般 batch 作业直接套到在线推理。
61	候选	FOCAL 用参数化一阶模型分析芯片全生命周期碳足迹；4／13 可补制造、面积和使用期的取舍，数据不确定性要保留，不只比较瞬时功耗。
62	备查	PCSTALL 用 wavefront 程序计数器预测短时行为以选择 DVFS；4 可比较控制时间尺度，微秒级研究机制不能当作当前 GPU 用户接口。
63	排除	SUIT 通过指令陷阱和双 DVFS 曲线降低 CPU 欠压安全裕量；CPU 安全电压实现不扩入本书模型系统优化主线。
64	排除	Kaleidoscope 用运行时验证修正乐观指针分析并支持 CFI；不直接增加模型算子或资源调度的判断能力。
65	排除	PAUL 从 RTL 提取 micro-update 模型进行硬件安全验证；形式化安全抽象不是本书 BOTE 性能估算的同一目标。
66	排除	CHERI C 语义工作厘清 capability、来源与未定义行为；不扩写为 AI Infra 编译或 sandbox 的语言语义教程。
67	备查	Crocus 核验 Cranelift 的 Wasm 指令降级规则；12 可提示隔离依赖编译正确性，但局部规则验证不代表完整环境已经验证。
68	备查	HyperEnclave 页表验证区分 Rust 内存安全与隔离配置正确性；12 可留可信边界线索，不展开形式化证明框架。
69	备查	C4CAM 从 TorchScript 分层降级到 CAM，并比较技术差异的系统成本；4／5 可作编译支持硬件选择的对照，检索型应用不是常规 Transformer 的直接实现。
70	候选	BaCO 为排列、连续参数及约束设计贝叶斯调优；5.3 可与固定 schedule 搜索和 Agent 反馈比较，须按相同搜索预算及正确性条件评价。
71	备查	Merlin 在验证前合并／改写 eBPF 指令以控制观测开销；13 可留 profiling 成本背景，网络程序的加速不作为 GPU 算子收益。
72	备查	Isaria 从 DSP ISA 规格合成重写规则并安排等价饱和阶段；5 可比较手工规则与自动编译生成，当前不新增 DSP 工具链案例。
73	备查	Pitchfork 用定点 IR 精确表达舍入、饱和和类型转换，再匹配融合指令；5 可说明算子语义影响指令选择，但 DSP 专属编译不扩成主线。
74	排除	CAC 权衡 DNA 存储编码密度与引物冲突以增加实际容量；不是本书训练数据、检查点或 KV 存储的实用层次。
75	备查	Ark 描述模拟计算范式并逐步加入非理想器件行为；4 可留模型与器件偏差线索，不展开模拟电路设计工具。
76	备查	LightRidge 将衍射光学网络的物理核、编译与原型连接起来；属于不同计算范式，仅作未来架构背景，不增加光学网络设计细节。
77	排除	EagleEye 调度混合分辨率卫星星座以提高感知覆盖；与 EAGLE 推测解码不同，不扩写遥感系统场景。
78	备查	时域卷积通过负对数延迟编码连接传感与计算；4 可留数据表示改变硬件代价的线索，不替代标准 GPU 模型算例。
79	备查	ALASKA 用 handle 间接层让非托管语言对象可移动以降低碎片；9／12 可参考间接寻址的取舍，主机堆压实不与 PagedAttention 实现混同。
80	排除	Cornucopia Reloaded 用 CHERI load barrier 降低时序安全回收停顿；内存安全实现暂不加入 AI 执行主线。
81	候选	Google TCMalloc 研究按真实对象大小、生命周期与硬件拓扑调整缓存层次；12／13 可补主机内存开销和全机群 A/B 验证，不能把机群均值当每个模型收益。
82	排除	Fleet 为 Android 前后台对象联合调整 GC 和 swap 以改善应用热启动；当前环境池已有更直接的 Serverless 候选，不增加移动应用案例。
83	候选	MiniMalloc 用规范解和支配剪枝加速静态内存规划；5.4 可补张量生命周期与缓冲复用，分配搜索更快不等于推理内核更快。
84	排除	量子芯粒纠错协同设计讨论缺陷率和逻辑量子比特成本；不因涉及 chiplet 就加入 AI 加速器比较。
85	排除	MECH 通过辅助量子比特构成通信通道并调度量子程序；不是 GPU 超节点互联的直接案例。
86	排除	QuFEM 用有限元启发方法与稀疏张量积校准量子读出噪声；不扩写量子校准系统。
87	排除	百万量子比特分布式计算机研究跨制冷机纠错；不与大模型分布式训练的规模约束混同。
88	排除	Promatch 的 predecoding 指量子纠错预译码；不是 LLM speculative decoding，不因实时或解码同名纳入。
89	备查	RFF 用 reads-from 关系引导并发交错测试；12 可留状态管理测试方法，但不增加通用并发测试教程。
90	排除	ROFER 用消息反馈对 ROS2 机器人程序做模糊测试；不直接回答本书 AI 服务的性能和资源问题。
91	备查	CSSTs 加速并发轨迹偏序维护；13 可留分析工具开销线索，官方摘要多处数学符号损坏，不自行重建复杂度结论。
92	备查	UBFuzz 检验 sanitizer 漏报，UB 指 undefined behavior；5 的自动优化验证可参考独立判据，不能与 Unified Bus 缩写混用。
93	候选	AttAcc 将 decode 注意力放入 PIM、全连接交给 xPU；2／4／10 可比较 batch 对权重与 KV 复用的不同影响，175B 历史模型和研究硬件条件需核对。
94	备查	SpecPIM 联合草稿／验证的资源需求和 PIM 数据流；9.3 可留异构阶段分工对照，不为旧硬件原型增加推测系统介绍节。
95	备查	PIM-DL 将 GEMM 替换为校准后的 LUT-NN，再映射到 DRAM-PIM；4／9 必须同时核对算法质量变化及真实 UPMEM 与模拟平台，不能说只是无损执行优化。
96	候选	NeuPIMs 用双行缓冲允许存取与 PIM 并行，并以子 batch 交错隐藏依赖；4／10 可补 AF 分工为何还需要硬件并发条件，与现有微批重叠案例比较后择一。
97	候选	Felix 将离散 tensor schedule 连续松弛，用可微延迟估计引导梯度搜索；5 可比较搜索成本、预测误差与实测反馈，摘要速度未采用。
98	候选	Souffle 依据全局 tensor 依赖及资源约束跨算子划分；5 的融合主线可比较局部优化与全局数据复用，需与 Korch 去重。
99	候选	PyTorch 2 的 Dynamo 字节码捕获和 Inductor lowering 是 5→9 的历史基础；图断点、编译与动态执行的当前能力另核版本，旧 A100 数字不外推。
100	候选	Korch 先拆算子再按代数原语重组 kernel，以约束优化选择执行；直接对应融合组合成本，精读后与当前编译路径比较。
101	不采用	Elivagar 面向有噪量子电路的硬件感知搜索，与 GPU／NPU 服务的约束不同，不扩展量子计算章节。
102	不采用	Red-QAOA 用图缩减降低量子变分参数搜索的噪声，非 Transformer 切分或通信负载。
103	不采用	VarSaw 通过量子测量子集和跨迭代冗余降低误差缓解成本，执行与精度口径不直接补充本书。
104	不采用	ProxiML 是光量子分类器及噪声感知训练，不为一般机器学习关键词扩大范围。
105	备查	FEASTA 用 sparse fiber tree／ISA 支持一般稀疏张量代数；4 可备查通用性代价，不能等同 MoE 或结构化 Tensor Core 稀疏。
106	备查	CMC 利用视频 CODEC 时空相似度跳算并恢复特征，涉及近似质量与专用硬件；8 保持现有图像／语音／Computer Use 主例。
107	候选	Tandem Processor 用可编程非 GEMM companion 配合矩阵单元；4 可解释端到端瓶颈和架构配比，需核七模型与资源条件。
108	备查	Carat 用 FP8 值复用把乘法转累计；4 备查低精度新架构，等面积和多节点条件不能成为现行 GPU 增速依据。
109	不采用	NetRen 面向企业 OSPF／BGP 配置综合；7 聚焦既定模型切分后的通信预算，避免传统网络配置教程。
110	备查	Hydride 从 ISA 形式语义合成 IR 与 instruction selection；5 可作可迁移性资料，优先讲融合、调度与反馈。
111	备查	RTL-Repair 的测试通过与语义修复差异可提醒 Agent 评估；硬件修复任务不直接纳入，不用测试通过数代表正确性。
112	不采用	Siro 合成跨版本 LLVM IR 转换以服务静态分析，未增加负载推算或执行优化判断。
113	备查	MemSnap 以线程 dirty set 和虚存保护实现事务级持久化；11 可类比一致快照，但数据库 ACID 不等于训练恢复，不替代 DCP。
114	不采用	Grafu 面向 out-of-core 同步图处理的未来顶点计算与条件 barrier；不是 LLM 计算图，不因同名概念而纳入。
115	备查	CrossPrefetch 把缓存状态和预取效果反馈用户 runtime，并分离 I/O 路径；10 可核预取干扰，需先绑定具体 KV 数据路径。
116	不采用	Palantir 面向备份去重后的块相似匹配和 delta compression；模型快照／KV 的等价性与质量条件不同，不直接套用。
117	备查	TGLite 的 TBlock 表达连续时间图的消息依赖和采样；可备查特殊负载，3 保持 LLM 三类推理及训练主线。
118	备查	MaxK-GNN 同时改非线性、稀疏格式和 GPU kernel；13 可提示模型／系统共同改变及质量门槛，不当作等语义 kernel 优化。
119	备查	Hector 两层 IR 分离 RGNN 语义、布局和 kernel，前向受访存、反向受 atomic／outer product 限制；5 备查，主例仍用真实 LLM 矩阵。
120	备查	Sleuth 用微服务 trace 图学习根因；13 可参考关键路径诊断，合成大规模微服务不等于 Agent／模型服务的实测故障。
121	不采用	PDIP 定位 FDIP 无法隐藏的 CPU 指令缓存 miss；启发是暴露延迟而非 miss 数，但不展开前端预测器微架构。
122	候选	Limoncello 在内存带宽高利用时关闭硬件预取并定向软件预取；12／13 可提供单任务优化与整机竞争的反例，须核真实负载范围。
123	不采用	PATHFINDER 用 SNN／STDP 实时学习地址 delta；是 CPU 预取器设计，不是本书 LLM 推测或 KV 预取。
124	不采用	Skip It 在 BOOM RISC-V 扩展显式缓存回写；一般缓存控制细节不补充当前主例的系统推算。
125	备查	RPG2 在线注入预取、调优并在有害时回滚；5 的实测反馈可借鉴，先与 Agent 闭环和 Limoncello 去重。
126	备查	METAL 分开缓存稀疏索引元数据与数据，range tag 缩短遍历；4／5 可备查元数据工作集，但不映射为当前 KV 缓存机制。
127	候选	GMT 让 GPU 组织 HBM／主机内存／SSD 三层，并按复用预测选择插入或旁路；10 可补迁移策略和控制路径，须核应用与并发条件。
128	候选	GMLake 以虚拟内存拼接非连续块缓解训练 allocator 碎片；5／11 可说明空闲容量不等于可分配容量，与 PagedAttention 及当前 allocator 分开。
129	备查	DMT 的 guest-host 合作缩短嵌套地址翻译；12 的 VM 可备查翻译成本，研究 ISA／OS 扩展不是 E2B 当前配置。
130	备查	WASP 根据负载和同机竞争自动控制 NUMA 页表复制；12 可备查副本收益条件，不将页表 NUMA 效应混作模型数据的带宽。
131	不采用	SIMD JSONPath 的 descendant 支持是流式查询算法，虽与 Agent 数据格式有关，未增加本书系统级设计判断。
132	备查	VNNI 编译研究用输入供给、寄存器／cache 复用和静态成本模型选择代码；5 可对照实测反馈，不以 VNNI 取代 AMX 专家主例。
133	不采用	共享 MLIR 编译栈面向 stencil DSL 的分布式消息传递，非 Transformer 并行切分；不扩 HPC 编译生态章节。
134	备查	SlimSLAM 按输入状态调整算法参数以守实时质量；8 可参考自适应计算预算，但当前以图像精修／语音／Computer Use 为主。
135	备查	HBC 以 Heartbeat Scheduling 自动控制嵌套 fork-join 粒度；12 可备查调度开销与不规则任务，先绑定 AI 工具／CPU 算子再采用。
136	备查	TinyForge 针对 50–500 KB tinyML 与低频硬件探索能耗面积；4 可说明 workload 决定存储和位串行取舍，不将小模型数值外推 LLM。
137	不采用	MulBERRY 为 UAV swarm 的低压位错误设计鲁棒 RL，涉及飞行任务和机载功率；不是本书服务端 Agent／RL rollout 的同类环境。
138	备查	VR 感知无损但数值有损编码减少 framebuffer DRAM 流量；8 可提醒人眼质量与模型输入质量不同，不能据此压缩 RAW 精修信息。
139	不采用	MicroVSA 为 tiny MCU 的 always-on 分类优化 LDC，模型及设备尺度与当前 LLM 主线不同，不扩展算法族。
140	不采用	REACT 按采集能量改变电容容量以保障无电池系统运行，非数据中心资源调度或模型状态缓冲。
141	备查	JUNO 改 ANN 算法并映射 RT／Tensor Core；12 的检索工具可备查 recall、算法与硬件收益的分解，暂不增向量数据库专节。
142	备查	ngAP 跨输入符号执行 automata 并用 memoization／私有计算改善局部性；5 可备查并行和冗余交换，不能直接推广结构化生成后端。
143	不采用	Marple 为脑机接口 spike sorting 分析模板存储并设计专用流水；方法相关但任务与芯片不在本书主例范围。
144	备查	Manticore 静态 BSP 利用 RTL 少分支消除细粒度运行时同步；5 可对比静态排程前提，RTL 仿真性能不等于 AI kernel 性能。
145	不采用	Orianna 以 factor graph 生成机器人优化算法 FPGA 加速器；不为矩阵关键词扩展机器人系统。
146	备查	AERO 按 NAND fail bits 调整擦除时间并保留可靠性余量；10 SSD 层可备查尾延迟来源，不展开介质算法或替代 KV 缓存实测。
147	备查	BypassD 扩展 IOMMU 翻译文件偏移实现共享 SSD 用户态访问；10 可参考隔离和软件路径成本，但不是现行 SPDK／GDS 默认能力。
148	不采用	ARM-Dedup 把 SSD 阵列去重与 FTL 管理协同，评估含模拟 SSD；没有新增本书模型状态迁移的直接判断。
149	不采用	LazyBarrier 为 Android 多线程保序写合并 barrier；11 已有持久化语义主例，不再引入移动文件系统细节。
150	不采用	Near-Zero Read Retry 通过 NAND 电压偏移表和动态搜索减重试；设备物理层细节不服务既定 KV／训练检查点推算。
151	候选	SmartMem 跨生产者消费者选共同布局以消除转换，另适配移动 2.5D 存储；5 可补布局决定融合收益，需核模型／后端且与 Korch 去重。
152	备查	Dr. DNA 用激活分布检测／缓解 SDC；11／13 可参考静默错误验证，视觉模型及注错实验不能直接外推大模型训练可靠性。
153	备查	GPU PIR 将远端 embedding 隐私查询与 ML 质量协同；8 可备查端云隐私的额外计算，但本书先讲明确传输和位置主例。
154	候选	RECom 将大量 embedding 列映射同一 kernel 的不同 block，并处理动态 shape／冗余；5 的融合与启动开销可作推荐历史对照，不冒充 LLM 后端。
155	备查	NDPipe 用存储服务器旁廉价 GPU 执行图片训练／推理；8／13 可比较移动模型与移动数据，但不把照片存储系统写成 RAW 上传优化。
156	不采用	可置换双量子门的结构化编译利用拓扑和噪声优化电路；与模型算子融合约束不同，不扩量子编译。
157	不采用	CRISC／AshN 针对量子耦合门集与退相干，原摘要部分公式编码损坏；不取其中数值，也不扩量子指令集。
158	不采用	MorphQPV 用量子状态同构近似和置信约束验证程序；其测量不可复制前提不适用于本书 Agent kernel 正确性验证。
159	不采用	Fermihedral 将 Fermion-to-qubit 编码转 SAT 优化；名称类似 polyhedral 但问题不同，不混为张量编译。
160	不采用	OnePerc 针对光量子 fusion 的概率性执行做离线／在线编译；不是 tensor operator fusion，不因关键词纳入。
161	备查	Lakeroad 用 sketch 和 HDL 语义合成 FPGA DSP 映射；5 可参考形式正确性与搜索覆盖，但硬件 technology mapping 不是 GPU schedule。
162	备查	TAPA-CS 在分布式 HBM-FPGA 上联合划分、拥塞与互联流水；6／7 可备查多级资源约束，保持本书 GPU／NPU 模型主例。
163	不采用	Zoomie 提供 FPGA 增量编译和软件式断点调试，属于硬件开发生产率，不补充当前推理／训练系统推算。
164	备查	HIR 用显式 schedule 生成 affine 硬件 FSM 并表达静态细粒度流水；5 可参考调度前提，不能直接替代动态 MoE／CUDA Graph。
165	备查	FaaSGraph 共设数据中心执行与 Serverless 图处理，12 可备查状态和弹性，但图算法基准不等于 Agent 工作流。
166	候选	DSCS-Serverless 指出分离存储访问会吞掉加速器收益，并把计算放进存储功率预算；13 可比较端到端路径，先核任务范围与等预算条件。
167	候选	Fuyao 用 DPU 解耦控制与数据、为函数对建立直接传输；12 可补工具结果的数据路径，需核四种通路及状态连接成本。
168	候选	DataFlower 将函数逻辑与异步数据逻辑分开，按数据就绪触发工作流；12 可比较持久化、传输、计算重叠，不能直接等同 Agent 依赖语义。
169	备查	Fractal 把剪枝稀疏模式理解为多层 tile 跳算并联合调精度性能；2／4／5 可备查硬件可执行稀疏性，75% 稀疏数字不外推 MoE。
170	候选	MikPoly 按运行时形状组合静态 micro-kernel，并用轻量成本模型选择；5 的动态图与准备成本可对照 GPU／Ascend，先核组合粒度及实测反馈。
171	备查	DTC-SpMM 联合稀疏格式、重排和流水利用 Tensor Core；5 可备查转换开销，GNN 端到端条件不泛化为 attention／MoE。
172	候选	SoD2 用 rank／dimension 符号传播支持动态网络的融合、排程和内存计划；5 可比较什么动态信息仍能提前优化，与 PyTorch 2 当前路径去重。
173	候选	SEVeriFast 发现压缩 kernel 和增加 bootstrap 组件能缩短 SEV 度量关键路径；12 的 lightweight VM 可补隔离模型改变冷启动最优点，勿声称 E2B 默认 SEV。
174	备查	sIOPMP 用分级物理区域保护改善 TEE I/O 隔离；12 可备查设备隔离成本，研究硬件扩展不列为当前 sandbox 能力。
175	不采用	AMNT 针对 SCM 完整性树崩溃一致性和片上元数据面积；现有训练／KV 主例不需要新增安全存储架构。
176	备查	Veil 借 VMPL 保护 CVM 内部服务并保留内核兼容；12 可区分 guest 内核信任与宿主隔离，不将普通 sandbox 等同机密 VM。
177	备查	DistMSM 分析 ZKP 的多 GPU 扩展并优化寄存器／大整数 kernel；6 可参考切分方法，但密码负载不能替代 LLM 模型与通信主例。
178	备查	LazyDP 针对推荐 DP-SGD 的噪声采样计算与带噪更新带宽；11 可提醒隐私训练负载不同，暂不扩展 DP 算法。
179	不采用	BitPacker 对 FHE CKKS 整数位宽做固定字打包提升算术利用；不是普通模型量化，避免将加密算术效率混入 GPU 精度表。
180	备查	ZENO 用隐私／tensor 类型优化 zkSNARK NN；13 可备查可验证推理的额外成本，VGG 证明时间不等于现代 LLM 推理延迟。
181	不采用	Performance-aware scale analysis 的 reserve 是 FHE 密文尺度预算，不是训练 scaling law 或低精度张量尺度，保持概念边界。
182	候选	Heet 以协同过滤减少异构弹性配置 profiling，并用价格函数平衡扩展效率和集群调度；12 应与 Rubick／RLBoost 比较新增约束。
183	备查	Tiny Quanta 以强制抢占和两层调度服务微秒 CPU 任务；12 可核工具执行粒度，不能将微秒调度收益外推秒级 Agent 回合。
184	候选	AUDIBLE 从生产 burstable VM 分布建非参数容量约束，避免固定超售比例失准；12 的 CPU sandbox 池可比较并发突发和容量违反概率。
185	备查	CPS 向 guest 暴露 pCPU 负载及 vCPU 映射改善双重调度；12 可区分虚拟 CPU 数与真实供给，但要绑定 AI 环境而非泛 VM 基准。
186	候选	PrimePar 在空间切分之外增加时间维度以减少集合通信和峰值内存；6→11 可核切分、重叠和重用关系，避免与已读 NanoFlow 重复。
187	候选	AdaPipe 联合每 stage 重算和层划分平衡内存与计算；11 可用 GPT-3／Llama 2 历史模型解释非均匀 PP，当前主模型另推算。
188	候选	EVT 面向训练前后向联合图划分和 CUTLASS epilogue 生成；5→11 可解释保留高性能 mainloop 的融合边界，研究编译器与当前 CUTLASS 模板分开。
189	候选	Slapo 以 schedule primitive 将模型定义与 kernel／3D 并行／重算解耦；5→6→11 可串起层次优化，旧 DeepSpeed／Megatron 基线不描述当前限制。
190	不采用	BVAP 是有界重复 regex 的存内 automata 专用处理器，周期模拟收益不能直接用于结构化输出后端或 MoE。
191	候选	IANUS 在统一 PIM／NPU 内存中处理普通访问与 PIM 计算互斥；4／10 可与 NeuPIMs 对比减少搬运后的并发限制，GPT-2 模拟和原型证据分开。
192	备查	PIM-STM 探索 UPMEM 事务库与元数据层级，非 CUDA 内存池或 LLM KV 生命周期，暂不扩事务算法。
193	备查	CIM-MLC 将 device／crossbar／多层硬件抽象用于多级编译；4／5 可参考建模粒度，不能把研究 CIM 栈当作当前 GPU 后端。
