number	decision	reason
68	备查	SIEVE 的命中开销、淘汰与并发性可补缓存比较；Web cache 的对象价值与模型 KV 重算成本不同，暂不直接移用命中率。
69	候选	Midas 以可撤销和重建的 soft memory 回收空闲主存；10／12 缓存与环境共享可参照，检查重建成本和接口侵入性。
70	备查	Legolas 用程序抽象状态指导细粒度故障注入；11／12 可留测试方法，但当前未读正文，不能作为已复现故障保证。
71	候选	Prequal 以预估延迟和在途请求选后端而非均衡 CPU；10／12 路由可参照，但要重新纳入 KV 复用和 token 成本。
72	排除	Orthcatter 的 OFDM 反射通信与空中码分不属于本书模型资源主线。
73	备查	EdgeRIC 将 AI 控制放在 RAN 本地以满足亚毫秒周期；8 可参照计算位置，暂不新增无线控制流程。
74	备查	ADR-X 用领域先验设计轻量 ANN 满足控制时限；13 有同类取舍，避免加入游戏外设专章。
75	排除	RFID+ 关注磁场与标签空间选择性；不进入 AI Infra 大纲。
76	候选	SMUFF 利用 Wi-Fi Direct 可见缓冲调节发送率；8 的近端传输可参照，必须区别直连链路与远程云 HTTP 服务。
77	候选	Vulcan 为实时 ML 查询联合选流水、配置和放置；8／13 可补 profiling 成本，先比较现有端到端案例再决定。
78	候选	CASSINI 在作业放置时利用周期通信的相位互补；7／12 可补拥塞前的时间安排，需读跨链路一致性、漂移和重新对齐开销。
79	候选	MLT 的包级多路径、梯度优先级和有限丢失依赖训练算法容错；7／11 须保留收敛边界，不当成对推理 KV 或激活的无损优化。
80	候选	Swing 通过环面方向交替减少归约物理跳数；6.4／6.5 可连接逻辑轮次与链路拥塞，须核非 2 的幂规模及实际平台。
81	备查	LitePred 迁移延迟预测器，面对 NAS 模型分布和硬件差异；13 已有实测校准方法，暂不增加独立 NAS 搜索小节。
82	候选	Harmonic 关注隐藏的 RDMA NIC 微架构资源与隔离；7／12 可补线速以下仍有争用，须区别 FPGA 原型与已部署产品。
83	候选	LDB 以栈采样和事件标签定位多线程尾延迟；12 工具进程可用作诊断参照，不能把 CPU 采样时长当作 GPU kernel 时间。
84	候选	UFO 针对虚拟机超售、双重调度及 VM 内争用管理核心；12 的轻量 VM 服务可参照，需核业务和隔离假设。
85	备查	Maestro 自动并行网络函数并保持状态语义，最终受 PCIe 或线速约束；13 可比较合法性与性能，非 LLM 自动算子优化实现。
86	备查	AutoSketch 用精度意图约束网络遥测编译和资源配置；13 可留编译预算类比，不展开 sketch 算法目录。
87	备查	Leo 在交换机运行可更新决策树并控制表资源；13 已有加速器对照，暂不加新的线速 ML 分类器。
88	排除	FLM 将包序列识别编译成 P4；不是模型序列并行或注意力执行。
89	备查	OctoSketch 的多核增量聚合折中查询误差与性能；与模型训练归约目标不同，暂不直接引入。
90	排除	NR-Surface 重点是毫米波超表面功耗、同步和无线控制，不属于既定 AI 系统算例。
91	排除	Cyclops 是隐形眼镜内眼压传感器和无源读取；不扩展医学感知器件专题。
92	备查	Habitus 结合姿态预测和多路径改善沉浸媒体；8 只保留与现有 AI 交互时限直接相关的部分，当前不采用。
93	排除	BFMSense 用 Wi-Fi 波束反馈作感知；不补模型计算、访存或系统调度主线。
94	排除	mmComb 聚焦商用毫米波反射通信物理层，与本书 AI Infra 范围不符。
95	排除	生产 SSH 暴力猜密防护是通用安全运维；不因第 12 章有云环境就新增安全专题。
96	排除	DFOH 检测公网伪造起源 BGP 劫持，不是数据中心模型并行问题。
97	备查	NetVigil 用图学习检测东西向流量异常；这是 AI 用于网络安全，不等于网络用于 AI，暂不采用。
98	备查	TANGO 用边缘协作控制公网跨域路由；8 可留跨地域服务线索，不能写成第 7 章跨超节点协作。
99	候选	Sidekick 用旁路反馈帮助加密传输而不读取明文序号；8 可对照中间节点辅助，但需核端点改动与具体链路。
100	排除	VILAM 是车路协同视觉定位与点云校准；避免引入本书未计划的自动驾驶建图背景。
101	排除	Lasertag 是高速移动目标的激光跟踪与连接；不增加光学机械控制专题。
102	备查	MobileConfig 权衡启动、配置新鲜度与灰度风险；12 可留环境配置类比，暂不替换实际 Agent 运行案例。
103	排除	DeMo 聚焦室内配送安全与 BLE／IMU 定位；不纳入模型 Infra。
104	候选	AUGUR 在实时流中权衡蜂窝字节与 Wi-Fi 尾延迟；8 可补双路径重传，但不要把云游戏倍数移作 AI 实测。
105	备查	Zombie 将零知识证明预处理、批处理与异步执行分开；虽有相同摊销思想，但不展开密码证明机制。
106	候选	多路径 max-min 分配的近似与求解时间可检验 7／12 公平预算；先读理论与误差，不能仅凭单链路 waterfilling 外推。
107	排除	Cloud-LoRa 中 LoRa 是无线调制，不是低秩适配 LoRA；强化学习只是压缩控制方法，不构成 RL 训练系统案例。
108	备查	云资源悬挂与重用涉及环境生命周期；12 当前聚焦容量和执行，只留命名／回收语义线索，不展开攻击测量。
109	备查	CAPA 用变更调节层降低网络运维故障；7／13 可留可用性工程参照，不增加通用变更治理章节。
110	候选	NetAssistant 是实际网络诊断对话工作流；12 可补 Agent 工具路径和证据，但需核历史模型与能力，不能当现代推理模型实现。
111	备查	Klonet 可参考实验平台可用性与共享资源；不以部署上万仿真路由器取代本书先手算的教学方法。
112	备查	ExChain 追踪跨异常状态传播以诊断根因；12 可留执行失败研究，与当前 RL 角色恢复互补但暂未读正文。
